                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.2762,                0.95151,                 1.0383,                0.72897,                0.57376,                0.66437,                0.38909,                 1.5946,                 1.2088,                 1.1873,             0.00051304,             0.00051304,             0.00051304
                     47,                 1.2958,                0.92586,                 1.0476,                 0.7023,                0.62572,                0.65568,                0.36997,                 1.6179,                 1.2109,                 1.2062,             0.00050404,             0.00050404,             0.00050404
                     48,                 1.2785,                0.91553,                  1.049,                0.73493,                 0.5822,                0.66454,                0.39195,                 1.5828,                 1.1925,                  1.176,             0.00049504,             0.00049504,             0.00049504
                     49,                 1.2546,                0.89291,                 1.0409,                 0.8019,                0.60889,                0.69103,                0.39026,                 1.5773,                 1.1586,                   1.19,             0.00048604,             0.00048604,             0.00048604
                     50,                 1.2392,                0.87232,                  1.037,                0.77665,                0.64742,                0.69488,                0.40779,                  1.569,                 1.1501,                 1.1803,             0.00047704,             0.00047704,             0.00047704
                     51,                 1.2594,                0.88099,                 1.0318,                0.80508,                0.59687,                0.69741,                0.40439,                 1.5455,                 1.1269,                 1.1652,             0.00046804,             0.00046804,             0.00046804
                     52,                 1.2612,                 0.9028,                 1.0305,                0.79498,                0.57088,                0.68053,                0.39206,                 1.5797,                 1.2244,                 1.1867,             0.00045904,             0.00045904,             0.00045904
                     53,                 1.2264,                0.86791,                 1.0283,                 0.7584,                0.59461,                  0.673,                0.38047,                 1.6025,                 1.1971,                 1.1974,             0.00045005,             0.00045005,             0.00045005
                     54,                 1.2646,                0.86295,                 1.0301,                0.79346,                 0.6262,                0.69719,                0.39646,                  1.563,                 1.1254,                 1.1789,             0.00044105,             0.00044105,             0.00044105
                     55,                 1.2293,                0.87075,                 1.0231,                0.78174,                0.60486,                0.69111,                0.39676,                 1.5831,                 1.1196,                 1.1764,             0.00043205,             0.00043205,             0.00043205
                     56,                 1.2252,                0.85988,                 1.0204,                0.77082,                0.63239,                0.69747,                0.40529,                  1.593,                  1.113,                 1.1748,             0.00042305,             0.00042305,             0.00042305
                     57,                 1.2441,                0.85369,                 1.0302,                0.74506,                0.64647,                0.69849,                0.40474,                 1.5784,                 1.1149,                 1.1682,             0.00041405,             0.00041405,             0.00041405
                     58,                 1.2311,                0.85416,                 1.0106,                0.74627,                0.62656,                0.69499,                0.40353,                 1.5695,                  1.108,                 1.1829,             0.00040505,             0.00040505,             0.00040505
                     59,                 1.2027,                0.83784,                 1.0195,                0.79666,                0.60469,                0.69658,                0.39796,                 1.6004,                 1.1298,                 1.1784,             0.00039605,             0.00039605,             0.00039605
                     60,                 1.2514,                0.85736,                 1.0216,                0.76995,                0.63251,                0.69355,                0.39301,                 1.6017,                 1.1434,                 1.1754,             0.00038705,             0.00038705,             0.00038705
                     61,                 1.2081,                0.83938,                 1.0125,                0.78302,                0.65296,                0.71126,                0.40924,                 1.5616,                 1.1058,                   1.17,             0.00037805,             0.00037805,             0.00037805
                     62,                  1.223,                0.83262,                 1.0119,                0.74126,                0.65898,                0.70436,                0.40856,                 1.5561,                 1.0848,                 1.1731,             0.00036905,             0.00036905,             0.00036905
                     63,                 1.2266,                0.83676,                 1.0152,                0.74483,                0.64882,                0.70136,                0.40158,                 1.5857,                 1.1125,                 1.1826,             0.00036005,             0.00036005,             0.00036005
                     64,                 1.1742,                0.81234,                 1.0057,                0.78897,                0.64061,                0.69222,                 0.4006,                 1.5721,                 1.1179,                 1.1776,             0.00035106,             0.00035106,             0.00035106
                     65,                 1.1986,                0.79908,                 1.0079,                0.72108,                0.66973,                0.71208,                0.40247,                 1.5957,                 1.1802,                 1.1927,             0.00034206,             0.00034206,             0.00034206
                     66,                 1.1715,                0.79865,                 1.0006,                0.74189,                0.62316,                0.69212,                 0.4076,                  1.576,                  1.117,                 1.1848,             0.00033306,             0.00033306,             0.00033306
                     67,                 1.1855,                0.80101,                 1.0187,                0.80641,                0.61845,                0.69918,                0.40529,                 1.5715,                 1.0823,                 1.1804,             0.00032406,             0.00032406,             0.00032406
                     68,                 1.1638,                0.78316,                0.99338,                 0.7689,                0.63668,                0.69931,                0.39936,                  1.579,                 1.0768,                 1.1712,             0.00031506,             0.00031506,             0.00031506
                     69,                 1.1418,                0.77541,                0.99498,                0.77374,                0.61517,                0.70046,                0.39883,                 1.5785,                 1.0883,                 1.1757,             0.00030606,             0.00030606,             0.00030606
                     70,                 1.1805,                 0.7863,                 1.0046,                0.80209,                0.61029,                0.70078,                0.39944,                 1.5667,                 1.0707,                 1.1673,             0.00029706,             0.00029706,             0.00029706
